"name","url"
"BeanMine","https://mines.legumeinfo.org/beanmine"
"BovineMine","http://bovinegenome.org/bovinemine"
"CHOmine","https://chomine.boku.ac.at/chomine"
"ChickpeaMine","https://mines.legumeinfo.org/chickpeamine"
"CowpeaMine","https://mines.legumeinfo.org/cowpeamine"
"FlyMine","http://www.flymine.org/flymine"
"GrapeMine","http://urgi.versailles.inra.fr/GrapeMine"
"HumanMine","http://www.humanmine.org/humanmine"
"HymenopteraMine","http://hymenopteragenome.org/hymenopteramine"
"IndigoMine","http://www.cbrc.kaust.edu.sa/indigo"
"LegumeMine","https://intermine.legumefederation.org/legumemine"
"MedicMine","http://medicmine.jcvi.org/medicmine"
"MitoMiner","http://mitominer.mrc-mbu.cam.ac.uk/release-4.0"
"ModMine","http://intermine.modencode.org/release-33"
"MouseMine","http://www.mousemine.org/mousemine"
"PeanutMine","https://mines.legumeinfo.org/peanutmine"
"PhytoMine","https://phytozome.jgi.doe.gov/phytomine/"
"PlanMine","http://planmine.mpi-cbg.de/planmine"
"RatMine","http://ratmine.mcw.edu/ratmine"
"RepetDB","http://urgi.versailles.inra.fr/repetdb"
"Shaare","http://www.shaare.org.uk/release-1.0"
"SoyMine","https://mines.legumeinfo.org/soymine"
"TargetMine","http://targetmine.mizuguchilab.org/targetmine"
"ThaleMine","https://apps.araport.org/thalemine"
"Wheat3BMine","http://urgi.versailles.inra.fr/Wheat3BMine"
"WormMine","http://intermine.wormbase.org"
"XenMine","http://www.xenmine.org/xenmine"
"YeastMine","http://yeastmine.yeastgenome.org/yeastmine"
"ZebrafishMine","http://zebrafishmine.org"
